timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1644501969395,1249,CheckAvails,200,,RequestGroup 1-1,text,true,,485745,110299,1,1,http://65.0.127.126:8080/avails/fetch,988,0,61
1644501970783,922,CheckAvails,200,,RequestGroup 1-1,text,true,,486192,110299,1,1,http://65.0.127.126:8080/avails/fetch,748,0,0
1644501971718,821,CheckAvails,200,,RequestGroup 1-1,text,true,,486299,110299,1,1,http://65.0.127.126:8080/avails/fetch,699,0,0
1644501972546,981,CheckAvails,200,,RequestGroup 1-1,text,true,,486561,110299,1,1,http://65.0.127.126:8080/avails/fetch,826,0,0
1644501973532,826,CheckAvails,200,,RequestGroup 1-1,text,true,,486134,110299,1,1,http://65.0.127.126:8080/avails/fetch,706,0,0
1644501974362,808,CheckAvails,200,,RequestGroup 1-1,text,true,,485416,110299,1,1,http://65.0.127.126:8080/avails/fetch,693,0,0
1644501975176,831,CheckAvails,200,,RequestGroup 1-1,text,true,,485497,110299,1,1,http://65.0.127.126:8080/avails/fetch,717,0,0
1644501976013,809,CheckAvails,200,,RequestGroup 1-1,text,true,,486128,110299,1,1,http://65.0.127.126:8080/avails/fetch,699,0,0
1644501976828,817,CheckAvails,200,,RequestGroup 1-1,text,true,,486549,110299,1,1,http://65.0.127.126:8080/avails/fetch,698,0,0
1644501977648,836,CheckAvails,200,,RequestGroup 1-1,text,true,,485657,110299,1,1,http://65.0.127.126:8080/avails/fetch,727,0,0
1644501978493,831,CheckAvails,200,,RequestGroup 1-1,text,true,,486371,110299,1,1,http://65.0.127.126:8080/avails/fetch,716,0,0
1644501979329,804,CheckAvails,200,,RequestGroup 1-1,text,true,,486000,110299,1,1,http://65.0.127.126:8080/avails/fetch,693,0,0
1644501980141,807,CheckAvails,200,,RequestGroup 1-1,text,true,,485302,110299,1,1,http://65.0.127.126:8080/avails/fetch,694,0,0
1644501980953,7825,CheckAvails,200,,RequestGroup 1-1,text,true,,15333301,110299,1,1,http://65.0.127.126:8080/avails/fetch,2010,0,0
1644501988784,1003,CheckAvails,200,,RequestGroup 1-1,text,true,,486193,110299,1,1,http://65.0.127.126:8080/avails/fetch,863,0,0
1644501989798,1012,CheckAvails,200,,RequestGroup 1-1,text,true,,486344,110299,1,1,http://65.0.127.126:8080/avails/fetch,860,0,0
1644501990836,990,CheckAvails,200,,RequestGroup 1-1,text,true,,486296,110299,1,1,http://65.0.127.126:8080/avails/fetch,812,0,0
1644501991829,1007,CheckAvails,200,,RequestGroup 1-1,text,true,,486029,110299,1,1,http://65.0.127.126:8080/avails/fetch,819,0,0
1644501992858,887,CheckAvails,200,,RequestGroup 1-1,text,true,,486650,110299,1,1,http://65.0.127.126:8080/avails/fetch,739,0,0
1644501993764,854,CheckAvails,200,,RequestGroup 1-1,text,true,,486050,110299,1,1,http://65.0.127.126:8080/avails/fetch,717,0,0
1644501994624,814,CheckAvails,200,,RequestGroup 1-1,text,true,,485926,110299,1,1,http://65.0.127.126:8080/avails/fetch,697,0,0
1644501995469,854,CheckAvails,200,,RequestGroup 1-1,text,true,,486064,110299,1,1,http://65.0.127.126:8080/avails/fetch,738,0,0
1644501996347,838,CheckAvails,200,,RequestGroup 1-1,text,true,,486240,110299,1,1,http://65.0.127.126:8080/avails/fetch,718,0,0
1644501997197,866,CheckAvails,200,,RequestGroup 1-1,text,true,,485356,110299,1,1,http://65.0.127.126:8080/avails/fetch,708,0,0
1644501998080,849,CheckAvails,200,,RequestGroup 1-1,text,true,,485892,110299,1,1,http://65.0.127.126:8080/avails/fetch,698,0,0
1644501998940,870,CheckAvails,200,,RequestGroup 1-1,text,true,,485561,110299,1,1,http://65.0.127.126:8080/avails/fetch,721,0,0
1644501999833,838,CheckAvails,200,,RequestGroup 1-1,text,true,,485727,110299,1,1,http://65.0.127.126:8080/avails/fetch,695,0,0
1644502000680,844,CheckAvails,200,,RequestGroup 1-1,text,true,,486809,110299,1,1,http://65.0.127.126:8080/avails/fetch,698,0,0
1644502001552,877,CheckAvails,200,,RequestGroup 1-1,text,true,,485878,110299,1,1,http://65.0.127.126:8080/avails/fetch,719,0,0
1644502002438,892,CheckAvails,200,,RequestGroup 1-1,text,true,,485816,110299,1,1,http://65.0.127.126:8080/avails/fetch,756,0,0
1644502003350,866,CheckAvails,200,,RequestGroup 1-1,text,true,,486103,110299,1,1,http://65.0.127.126:8080/avails/fetch,724,0,0
1644502004221,840,CheckAvails,200,,RequestGroup 1-1,text,true,,486485,110299,1,1,http://65.0.127.126:8080/avails/fetch,710,0,0
1644502005067,7255,CheckAvails,200,,RequestGroup 1-1,text,true,,15333580,110299,1,1,http://65.0.127.126:8080/avails/fetch,1496,0,0
1644502012328,919,CheckAvails,200,,RequestGroup 1-1,text,true,,485333,110299,1,1,http://65.0.127.126:8080/avails/fetch,746,0,0
1644502013250,853,CheckAvails,200,,RequestGroup 1-1,text,true,,486408,110299,1,1,http://65.0.127.126:8080/avails/fetch,729,0,0
1644502014106,826,CheckAvails,200,,RequestGroup 1-1,text,true,,486722,110299,1,1,http://65.0.127.126:8080/avails/fetch,703,0,0
1644502014937,823,CheckAvails,200,,RequestGroup 1-1,text,true,,486396,110299,1,1,http://65.0.127.126:8080/avails/fetch,692,0,0
1644502015765,825,CheckAvails,200,,RequestGroup 1-1,text,true,,486339,110299,1,1,http://65.0.127.126:8080/avails/fetch,691,0,0
1644502016598,810,CheckAvails,200,,RequestGroup 1-1,text,true,,485336,110299,1,1,http://65.0.127.126:8080/avails/fetch,687,0,0
1644502017413,861,CheckAvails,200,,RequestGroup 1-1,text,true,,485823,110299,1,1,http://65.0.127.126:8080/avails/fetch,737,0,0
